No.,ハングル,日本語意味,alphabet(読み方)
104,고등학교,高等学校,godeunghakgyo
105,고등학생,高校生,godeunghaksaeng
106,고르다,選ぶ,goreuda
107,고마웠습니다,ありがとうございました,gomawotseupnida
108,고맙다,ありがたい,gomapda
109,고맙습니다,ありがとうございます,gomapseupnida
110,고모,（父方の）おば,gomo
111,고모부,（父方の）おばの夫、おじ,gomobu
112,고속버스,高速バス,gosokbeoseu
113,고양이,猫,goyangi
114,고장,故障,gojang
115,고추,唐辛子,gochu
116,고추장,コチュジャン,gochujang
117,고치다,なおす,gochida
118,고프다,（お腹が）すいている、空腹だ,gopeuda
119,고향,故郷、ふるさと,gohyang
120,곧,すぐ,got
121,골목,路地、裏通り,golmok
122,골프,ゴルフ,golpeu
123,곱다,美しい,gopda
124,곳,ところ,got
125,공,ボール、玉,gong
126,공간,空間,gonggan
127,공기,空気,gonggi
128,공무원,公務員,gongmuwon
129,공부,勉強,gongbu
130,공부하다,勉強する,gongbuhada
131,공연,公演,gongyeon
132,공원,公園,gongwon
133,공중전화,公衆電話,gongjungjeonhwa
134,공짜,ただ、無料,gongjja
135,공책,ノート,gongchaek
136,공항,空港,gonghang
137,공휴일,祝日,gonghyuil
138,과,課,gwa
139,과거,過去,gwageo
140,과일,果物,gwail
141,과자,菓子,gwaja
142,과학,科学,gwahak
143,관계,関係,gwangye
144,관광하다,観光する,gwangwanghada
145,관심,関心、興味,gwansim
146,광고,広告,gwanggo
147,괜찮다,大物理だ、構わない,gwaenchanda
148,괜찮습니다,大丈夫です、結構です,gwaenchanseupnida
149,교과서,教科書,gyogwaseo
150,교수,教授,gyosu
151,교실,教室,gyosil
152,교체,交代,gyoche
153,교통,交通,gyotong
154,교통사고,交通事故,gyotongsago
155,교회,教会,gyohoe
156,구,9,gu
157,구경하다,見物する,gugyeonghada
158,구두,靴,gudu
159,구름,雲,gureum
160,구십,90,gusip
161,구월,９月,guwol
162,구하다,求める、手に入れる,guhada
163,국,スープ、汁,guk
164,국내,国内,guknae
165,국립,国立,gukrip
166,국수,麺、麺類,guksu
167,국어,国語,gugeo
168,국적,国籍,gukjeok
169,국제,国際,gukje
170,군인,軍人,gunin
171,굽다,焼く,gupda
172,권,～巻,gwon
173,귀,耳,gwi
174,귀엽다,かわいい,gwiyeopda
175,규칙,規則,gyuchik
176,귤,みかん,gyul
177,그,その,geu
178,그거,それ,geugeo
179,그것,それ,geugeot
180,그곳,そこ,geugot
181,그날,その日,geunal
182,그냥,そのまま、ただ,geunyang
183,그동안,その間、これまで,geudongan
184,그들,彼ら,geudeul
185,그때,そのとき、当時,geuttae
186,그래,うん、そう（相づち）,geurae
187,그래서,それで、そうして,geuraeseo
188,그램,グラム,geuraem
189,그러나,しかし、けれど,geureona
190,그러니까,だから、そうだから,geureonikka
191,그러면,そうなら、それでは,geureomyeon
192,그런,そんな,geureon
193,그런데,ところで、ところが,geureonde
194,그럼,では,geureom
195,그렇게,そのように,geureotge
196,그렇구나,なるほど、そうなんだ,geureotguna
197,그렇다,そうだ,geureotda
198,그렇습니다,そうです,geureotseupnida
199,그렇지만,そうだけれど、しかし,geureotjiman
200,그릇,器、容器、食器,geureut
201,그리고,そして,geurigo
202,그리다,（絵を）描く,geurida
203,그림,絵,geurim
204,그만,それくらいで、それで,geuman
205,그분,そのかた,geubun
206,그저께,おととい,geujeokke
207,그중,その中,geujung
208,그쪽,そちら、そのかた,geujjok
209,그치다,終わる、止む,geuchida
210,극장,劇場、映画館,geukjang
211,근처,近所,geuncheo
212,글,文章、文字,geul
213,글쎄요,そうですね、どうでしょうね,geulsseyo
214,금방,すぐ、さっき,geumbang
215,금연,禁煙,geumyeon
216,금요일,金曜日,geumyoil
217,금주,禁酒,geumju
218,급,級,geup
219,급하다,急だ、緊急だ、急がれる,geuphada
220,기간,期間,gigan
221,기다리다,待つ,gidarida
222,기르다,育てる、養う,gireuda
223,기름,油、ガソリン,gireum
224,기분,気分,gibun
225,기뻐하다,嬉しがる,gippeohada
226,기쁘다,嬉しい,gippeuda
227,기사,運転手、技士、記事,gisa
228,기숙사,寄宿舎、寮,gisuksa
229,기억하다,記憶する、憶える,gieokhada
230,기온,気温,gion
231,기자,記者,gija
232,기차,汽車,gicha
233,기침,咳,gichim
234,기타,その他,gita
235,긴장되다,緊張する,ginjangdoeda
236,길,道,gil
237,길다,長い,gilda
238,김,海苔,gim
239,김밥,のり巻き,gimbap
240,김치,キムチ,gimchi
241,김치찌개,キムチ鍋,gimchijjigae
242,김포공항,金浦空港,gimpogonghang
243,까만색,黒、黒色,kkamansaek
244,까맣다,黒い,kkamatda
245,깎다,削る、そぐ,kkakda
246,깜짝,はっと（驚く）,kkamjjak
247,깨끗하다,清潔だ、きれいだ,kkaekkeuthada
248,깨다,割る、壊す,kkaeda
249,깨지다,割れる、壊れる,kkaejida
250,꺼내다,取り出す,kkeonaeda
251,껌,ガム,kkeom
252,꼭,必ず、絶対に,kkok
253,꽃,花,kkot
254,꽃집,花屋,kkotjip
255,꾸다,（夢を）見る、夢見る,kkuda
256,꿈,夢,kkum
257,끄다,消す、止める,kkeuda
258,끓이다,沸かす、煮る,kkeulhida
259,끝,終わり,kkeut
260,끝나다,終わる,kkeutnada
261,끝내다,終える、済ませる,kkeutnaeda
262,끼다,霧が立ち込める、差し込む,kkida
263,나,私、ぼく、わたし,na
264,나가다,出て行く,nagada
265,나누다,分ける,nanuda
266,나다,出る,nada
267,나라,国,nara
268,나무,木,namu
269,나빠지다,悪くなる,nappajida
270,나쁘다,悪い,nappeuda
271,나오다,出て来る、あらわれる,naoda
272,나이,歳、年齢,nai
273,나중,（時間や順序が）後,najung
274,나타나다,あらわれる,natanada
275,나흘,４日,naheul
276,낚시,釣り,naksi
277,날,日,nal
278,날씨,天気,nalssi
279,날짜,日付,naljja
280,남,男,nam
281,남기다,残す,namgida
282,남녀,男女,namnyeo
283,남대문시장,南大門市場,namdaemunsijang
284,남동생,弟,namdongsaeng
285,남미,南米,nammi
286,남북,南北,nambuk
287,남자,男,namja
288,남쪽,南,namjjok
289,남편,夫,nampyeon
290,남학생,男子学生,namhaksaeng
291,낮,昼、日中,nat
292,낮다,低い,natda
293,내,私の、僕の、おれの,nae
294,내가,僕が、私が,naega
295,내과,内科,naegwa
296,내년,来年,naenyeon
297,내다,出す、起こす,naeda
298,내려가다,下がって行く、下がる、降りて行く,naeryeogada
299,내려오다,下がって来る、降りて来る,naeryeooda
300,내리다,下がる、降りる、降る,naerida
301,내용,内容,naeyong
302,내일,明日,naeil
303,냄비,鍋,naembi
304,냄새,におい,naemsae
305,냉면,冷麺,naengmyeon
306,냉장고,冷蔵庫,naengjanggo
307,너,きみ、おまえ,neo
308,너무,あまりにも、とても,neomu
309,넓다,広い,neopda
310,넘다,越える、過ぎる,neomda
311,넘어지다,倒れる,neomeojida
312,넣다,入れる,neotda
313,네,はい、４つの～,ne
314,넥타이,ネクタイ,nektai
315,넷,4,net
316,넷째,第４の～、４番目の,netjjae
317,년,～年,nyeon
318,노란색,黄色,noransaek
319,노랗다,黄色い,noratda
320,노래,歌,norae
321,노래방,カラオケ店,noraebang
322,노래하다,歌う,noraehada
323,노력하다,努力する,noryeokhada
324,노트,ノート,noteu
325,녹색,緑色,noksaek
326,녹차,緑茶,nokcha
327,놀다,遊ぶ,nolda
328,놀라다,驚く,nollada
329,농구,バスケットボール,nonggu
330,높다,高い,nopda
331,놓다,置く,notda
332,누가,誰が,nuga
333,누구,誰,nugu
334,누나,姉（弟から見て）,nuna
335,누르다,押す,nureuda
336,눈,目、雪,nun
337,눈물,涙,nunmul
338,눈사람,雪だるま,nunsaram
339,눈싸움,雪合戦,nunssaum
340,눕다,横になる、寝る,nupda
341,뉴스,ニュース,nyuseu
342,뉴욕,ニューヨーク,nyuyok
343,느끼다,感じる,neukkida
344,느낌,感じ、気持ち,neukkim
345,느리다,（速度が）遅い,neurida
346,늘,いつも、ずっと,neul
347,늘다,増える、増す,neulda
348,능력,能力,neungryeok
349,늦다,（時間的に）遅い、遅れる,neutda
350,늦잠,寝坊,neutjam
351,님,～様,nim
352,다,全部,da
353,다녀오다,行って来る,danyeooda
354,다니다,通う,danida
355,다르다,違う、異なる,dareuda
356,다른,別の～、違う～,dareun
357,다리,脚、足、橋,dari
358,다섯,5,daseot
359,다시,再び、また,dasi
360,다음,次、後,daeum
361,다음달,来月、翌月,daeumdal
362,다음주,来週,daeumju
363,다음해,翌年,daeumhae
364,다이어트,ダイエット,daieoteu
365,다치다,けがする、触れる,dachida
366,닦다,磨く、拭く,dakda
367,단어,単語,daneo
368,단점,短所、欠点,danjeom
369,닫다,閉める,datda
370,닫히다,閉まる,dathida
371,달,～ヶ月、月,dal
372,달걀,卵,dalgyal
373,달다,甘い,dalda
374,달러,ドル,dalleo
375,달력,カレンダー、暦,dallyeok
376,달리다,走る,dallida
377,닭,にわとり,dak
378,닭고기,鶏肉,dakgogi
379,닮다,似る,damda
380,담그다,漬ける,damgeuda
381,담배,たばこ,dambae
382,답장,返信、返事,dapjang
383,당근,にんじん,danggeun
384,당신,あなた,dangsin
385,대,～台,dae
386,대답,答え,daedap
387,대답하다,返事する、答える,daedaphada
388,대부분,大部分、ほとんど,daebubun
389,대사관,大使館,daesagwan
390,대학,大学,daehak
391,대학교,大学校,daehakgyo
392,대학생,大学生,daehaksaeng
393,대학원,大学院,daehagwon
394,대학원생,大学院生,daehagwonsaeng
395,대한민국,大韓民国,daehanminguk
396,대화,对話,daehwa
397,대회,大会,daehoe
398,댁,お宅,daek
399,더,もっと、もう,deo
400,더럽다,汚い,deoreopda
401,더운물,お湯,deounmul
402,덕분,おかげ,deokbun
403,덥다,暑い,deopda
404,덮다,覆う、かぶせる,deopda
405,데리다,連れる,derida
406,데이트,デート,deiteu
407,도로,道路,doro
408,도서관,図書館,doseogwan
409,도시,都市,dosi
410,도와주다,助けてあげる、助ける,dowajuda
411,도움,助け,doum
412,도착,到着,dochak
413,도착하다,到着する、着く,dochakhada
414,도쿄,東京,dokyo
415,독서,読書,dokseo
416,독서실,読書室,dokseosil
417,독서하다,読書する,dokseohada
418,독일,ドイツ,dogil
419,돈,お金,don
420,돌아가다,帰って行く,doragada
421,돌아오다,帰って来る,doraoda
422,돕다,助ける、手伝う,dopda
423,동네,町内、ご近所,dongne
424,동대문시장,東大門市場,dongdaemunsijang
425,동물,動物,dongmul
426,동생,弟・妹,dongsaeng
427,동아리,愛好会、サークル,dongari
428,동안,～の間,dongan
429,동양,東洋,dongyang
430,동전,硬貨、小銭,dongjeon
431,동쪽,東、東側,dongjjok
432,돼지,豚,dwaeji
433,돼지고기,豚肉,dwaejigogi
434,되다,～になる,doeda
435,된장,味噌,doenjang
436,된장국,味噌汁,doenjangguk
437,된장찌개,テンジャンチゲ、味噌鍋,doenjangjjigae
438,두,２つの～,du
439,두껍다,厚い,dukkeopda
440,두다,置く,duda
441,두부,豆腐,dubu
442,두부찌개,豆腐チゲ,dubujjigae
443,둘,2,dul
444,둘째,第２の～、２番目の～,duljjae
445,뒤,後ろ、裏,dwi
446,뒤쪽,後ろ、後ろの方、後側,dwijjok
447,드라마,ドラマ,deurama
448,드리다,差し上げる,deurida
449,드시다,召し上がる,deusida
450,듣기,聞くこと、聞き取り,deutgi
451,듣다,聞く,deutda
452,들,～たち、～ども,deul
453,들다,持つ、入る,deulda
454,들어가다,入って行く、入る,deureogada
455,들어오다,入って来る、入る,deureooda
456,등,背、など,deung
457,등산,登山,deungsan
458,등산복,登山服,deungsanbok
459,등산화,登山靴,deungsanhwa
460,디브이디,DVD,dibeuidi
461,디자인,デザイン,dijain
462,따뜻하다,暖かい,ttatteuthada
463,따라가다,ついて行く、従う,ttaragada
464,따라오다,ついて来る,ttaraoda
465,따로,別に、別途,ttaro
466,따르다,従う,ttareuda
467,딸,娘,ttal
468,딸기,いちご,ttalgi
469,땀,汗,ttam
470,때,時,ttae
471,때문,～のため、～だから,ttaemun
472,떠나다,发つ、去る,tteonada
473,떠들다,騒ぐ,tteodeulda
474,떡,餅,tteok
475,떡국,トック、餅入りスープ,tteokguk
476,떡볶이,トッポギ,tteokbokki
477,떨어지다,落ちる,tteoreojida
478,또,また、再び,tto
479,또는,または,ttoneun
480,똑같다,全く同じだ、そっくりだ,ttokgatda
481,똑바로,まっすぐに、しっかり,ttokbaro
482,뛰다,駆ける、走る,ttwida
483,뜨겁다,熱い,tteugeopda
484,뜨다,(目を)開く,tteuda
485,뜻,意味、こころざし,tteut
486,라디오,ラジオ,radio
487,라면,ラーメン,ramyeon
488,러시아,ロシア,reosia
489,로션,ローション、化粧水,rosyeon
490,마늘,にんにく,maneul
491,마르다,乾く,mareuda
492,마리,～匹、～頭,mari
493,마시다,飲む,masida
494,마음,心、気持ち,maeum
495,마지막,最後,majimak
496,마치다,終わる、終える,machida
497,마흔,40,maheun
498,막히다,詰まる、つかえる,makhida
499,만,万,man
500,만나다,会う,mannada
501,만두,ぎょうざ,mandu
502,만들다,作る,mandeulda
503,만일,万一,manil
504,만지다,触る、触れる,manjida
505,만화,漫画,manhwa
506,많다,多い,manda
507,많이,多く、たくさん,manhi
508,말,言葉、話,mal
509,말씀,お言葉,malsseum
510,말씀하다,お話する、おっしゃる,malsseumhada
511,말하기,しゃべること、話、会話,malhagi
512,말하다,話す、しゃべる,malhada
513,맑다,清い、澄んでいる,makda
514,맛,味,mat
515,맛없다,おいしくない、不味い,maseopda
516,맛있다,おいしい,masitda
517,맞다,合う、合っている、正しい,matda
518,맞습니다,そうです,matseupnida
519,맞아요,その通りです,majayo
520,맞은편,向こう側、向かい,majeunpyeon
521,매다,結ぶ、締める,maeda
522,매우,とても、非常に,maeu
523,매일,毎日,maeil
524,매주,毎週,maeju
525,맥주,ビール,maekju
526,맵다,辛い,maepda
527,머리,頭、髪,meori
528,먹다,食べる,meokda
529,먼저,まず、先に,meonjeo
530,멀다,遠い,meolda
531,멋있다,素敵だ、格好いい,meositda
532,메뉴,メニュー,menyu
533,메다,担ぐ、背負う,meda
534,메모,メモ,memo
535,메시지,メッセージ,mesiji
536,멕시코,メキシコ,meksiko
537,며칠,何日,myeochil
538,면도,かみそり、ひげそり,myeondo
539,명,～名,myeong
540,명절,年中行事,myeongjeol
541,몇,いくつの～,myeot
542,모두,すべて、みな,modu
543,모레,あさって,more
544,모르겠습니다,知りません、わかりません,moreugetseupnida
545,모르다,知らない,moreuda
546,모시다,お連れする、お仕えする,mosida
547,모양,形、形状、格好、スタイル,moyang
548,모으다,集める,moeuda
549,모이다,集まる,moida
550,모임,集まり、集会,moim
551,모자,帽子,moja
552,목,首、喉,mok
553,목걸이,ネックレス、首飾り,mokgeori
554,목소리,声,moksori
555,목요일,木曜日,mogyoil
556,목욕,沐浴、入浴,mogyok
557,목욕하다,入浴する,mogyokhada
558,목적,目的,mokjeok
559,몸,体、身体,mom
560,몸살,疲労からくる病気,momsal
561,못하다,できない,mothada
562,몽골,モンゴル,monggol
563,무,大根,mu
564,무겁다,重い,mugeopda
565,무궁화,むくげ,mugunghwa
566,무료,無料,muryo
567,무릎,ひざ,mureup
568,무리,無理,muri
569,무섭다,怖い,museopda
570,무슨,何の～、どんな～,museun
571,무엇,何,mueot
572,무엇이,何が,mueosi
573,무역,貿易,muyeok
574,무용,舞踊、踊り、ダンス,muyong
575,무척,とても、非常に,mucheok
576,문,門、戸、ドア,mun
577,문구점,文具店,mungujeom
578,문장,文章,munjang
579,문제,問題,munje
580,문화,文化,munhwa
581,묻다,尋ねる、聞く,mutda
582,물,水,mul
583,물건,物、物品,mulgeon
584,물론,もちろん,mullon
585,물어보다,尋ねてみる、聞いてみる、聞く,mureoboda
586,뭐,何,mwo
587,미국,米国、アメリカ,miguk
588,미래,未来,mirae
589,미리,前もって、あらかじめ,miri
590,미술,美術,misul
591,미술관,美術館,misulgwan
592,미안하다,すまない,mianhada
593,미안합니다,すみません,mianhapnida
594,미용실,美容室,miyongsil
595,미터,メートル,miteo
596,민속촌,民俗村,minsokchon
597,밀가루,小麦粉,milgaru
598,밀리다,滞る,millida
599,밑,下、底,mit
600,바꾸다,変える,bakkuda
601,바뀌다,変わる,bakkwida
602,바나나,バナナ,banana
603,바다,海,bada
604,바닷가,海辺、浜辺,badatga
605,바라다,願う,barada
606,바람,風,baram
607,바로,すぐに、まさに,baro
608,바르다,塗る、つける,bareuda
609,바쁘다,忙しい,bappeuda
610,바이올린,バイオリン,baiollin
611,바지,ズボン,baji
612,박물관,博物館,bakmulgwan
613,박수,拍手,baksu
614,밖,外,bak
615,반,半分、班,ban
616,반갑다,嬉しい,bangapda
617,반갑습니다,お会いできて嬉しいです,bangapseupnida
618,반년,半年,bannyeon
619,반달,半月,bandal
620,반바지,半ズボン,banbaji
621,반지,指輪,banji
622,반찬,おかず,banchan
623,받다,受ける、受け取る,batda
624,발,足,bal
625,발가락,足の指,balgarak
626,발음,発音,bareum
627,발전,発展,baljeon
628,발표,発表,balpyo
629,밝다,明るい,bakda
630,밤,夜,bam
631,밥,ご飯、食事,bap
632,방,部屋,bang
633,방법,方法,bangbeop
634,방송,放送,bangsong
635,방송국,放送局,bangsongguk
636,방학,休み,banghak
637,배,お腹、船、梨,bae
638,배고프다,空腹だ,baegopeuda
639,배구,バレーボール,baegu
640,배달,配達、出前,baedal
641,배부르다,お腹いっぱいだ、満腹だ,baebureuda
642,배우,俳優,baeu
643,배우다,習う、教わる,baeuda
644,배탈,腹痛,baetal
645,백,100,baek
646,백화점,百貨店、デパート,baekhwajeom
647,버리다,捨てる,beorida
648,버스,バス,beoseu
649,번,～回,beon
650,번호,番号,beonho
651,벌다,（お金を）稼ぐ、儲ける,beolda
652,벌써,すでに、もう,beolsseo
653,벗다,脱ぐ,beotda
654,벚꽃,桜,beotkkot
655,베이징,北京,beijing
656,베트남,ベトナム,beteunam
657,벽,壁,byeok
658,변호사,弁護士,byeonhosa
659,별,星,byeol
660,별로,別に,byeollo
661,병,～本、病気,byeong
662,병원,病院,byeongwon
663,보내다,送る、過ごす,bonaeda
664,보다,見る、より,boda
665,보도,報道,bodo
666,보이다,見える、見せる,boida
667,보통,ふつう、一般的に,botong
668,복숭아,桃,boksunga
669,복잡하다,複雑だ、混雑している,bokjaphada
670,볶다,炒める、煎る,bokda
671,볶음밥,チャーハン,bokkeumbap
672,볼펜,ボールペン,bolpen
673,봄,春,bom
674,봉지,袋,bongji
675,봉투,封筒,bongtu
676,뵙다,お目にかかる,boepda
677,부동산,不動産,budongsan
678,부드럽다,柔らかい、やさしい,budeureopda
679,부르다,人を呼ぶ、歌を歌う,bureuda
680,부모,父母,bumo
681,부부,夫婦,bubu
682,부산,釜山,busan
683,부업,副業,bueop
684,부엌,台所,bueok
685,부인,夫人,buin
686,부장,部長,bujang
687,부지런하다,勤勉だ、まめだ,bujireonhada
688,부치다,（郵便物を）送る、焼く,buchida
689,부탁,お願い,butak
690,부탁하다,依頼する,butakhada
691,북쪽,北、北側,bukjjok
692,분,～名、～分,bun
693,분위기,雰囲気,bunwigi
694,불,火、明かり、電気,bul
695,불고기,プルコギ、焼き肉,bulgogi
696,불다,（風が）吹く、吹く,bulda
697,불편하다,不便だ、体調が悪い,bulpyeonhada
698,붓다,注ぐ,butda
699,붙다,くっつく、受かる,butda
700,붙이다,つける、貼る,buchida
701,브라질,ブラジル,beurajil
702,블라우스,ブラウス,beullauseu
703,비,雨,bi
704,비누,石鹸,binu
705,비디오,ビデオ,bidio
706,비밀,秘密,bimil
707,비빔밥,ビビンバ,bibimbap
708,비슷하다,似ている,biseuthada
709,비싸다,高い,bissada
710,비행기,飛行機,bihaenggi
711,비행장,飛行場,bihaengjang
712,빌딩,ビル,bilding
713,빌리다,借りる、貸す,billida
714,빠르다,速い,ppareuda
715,빨간색,赤色、赤,ppalgansaek
716,빨갛다,赤い,ppalgatda
717,빨다,洗濯する,ppalda
718,빨래,洗濯,ppallae
719,빨리,はやく,ppalli
720,빵,パン,ppang
721,빵집,パン屋、ベーカリー,ppangjip
722,빼다,のける、引く、抜く,ppaeda
723,뿐,だけ、のみ、ばかり,ppun
724,사,4,sa
725,사거리,四つ角,sageori
726,사계절,四季,sagyejeol
727,사고,事故,sago
728,사과,りんご,sagwa
729,사다,買う,sada
730,사람,人,saram
731,사랑,愛,sarang
732,사랑하다,愛する,saranghada
733,사례,事例,sarye
734,사무실,事務室,samusil
735,사물,物事,samul
736,사십,40,sasip
737,사업가,事業家,saeopga
738,사용하다,使用する,sayonghada
739,사원,社員,sawon
740,사월,４月,sawol
741,사이,間,sai
742,사이다,サイダー,saida
743,사이즈,サイズ,saijeu
744,사인하다,サインする,sainhada
745,사장,社長,sajang
746,사전,事典、辞典、辞書,sajeon
747,사진,写真,sajin
748,사진기,写真機、カメラ,sajingi
749,사촌,いとこ,sachon
750,사탕,飴、キャンディー,satang
751,사흘,３日、３日間,saheul
752,산,山,san
753,산책,散策、散歩,sanchaek
754,살,～歳,sal
755,살다,生きる、暮らす、住む,salda
756,삼,3,sam
757,삼거리,三つ角、三叉路,samgeori
758,삼계탕,サムゲタン（蓼鶏湯）,samgyetang
759,삼십,30,samsip
760,삼월,３月,samwol
761,삼촌,（父方の）おじ,samchon
762,상관,関係,sanggwan
763,상자,箱、ボックス,sangja
764,상처,傷,sangcheo
765,상품,商品,sangpum
766,새,新しい、鳥,sae
767,새로,新しく,saero
768,새벽,深夜、未明、明け方,saebyeok
769,새우,えび,saeu
770,색,色,saek
771,색깔,色,saekkkal
772,샌드위치,サンドウィッチ,saendeuwichi
773,생각,考え、思想,saenggak
774,생각되다,考えられる、思われる,saenggakdoeda
775,생각하다,考える,saenggakhada
776,생기다,生じる,saenggida
777,생선,魚（料理）,saengseon
778,생신,誕生日,saengsin
779,생일,誕生日,saengil
780,생활,生活,saenghwal
781,샤워하다,シャワーする,syawohada
782,샴푸,シャンプー,syampu
783,서다,立つ、止まる,seoda
784,서로,互いに、共に,seoro
785,서류,書類,seoryu
786,서른,30,seoreun
787,서비스,サービス,seobiseu
788,서양,西洋,seoyang
789,서울,ソウル,seoul
790,서울역,ソウル駅,seouryeok
791,서점,書店、本屋,seojeom
792,서쪽,西、西側,seojjok
793,선물,プレゼント,seonmul
794,선배,先輩,seonbae
795,선생님,先生,seonsaengnim
796,선수,選手,seonsu
797,선택하다,選択する、選ぶ,seontaekhada
798,선풍기,扇風機,seonpunggi
799,설거지,皿洗い,seolgeoji
800,설날,元旦,seollal
801,설렁탕,ソルロンタン,seolleongtang
802,설명,説明,seolmyeong
803,설명하다,説明する,seolmyeonghada
804,설악산,雪岳山,seoraksan
805,설탕,砂糖,seoltang
806,섬,島,seom
807,성,姓、名字,seong
808,성격,性格,seonggyeok
809,성함,お名前,seongham
810,세계,世界,segye
811,세수하다,洗顔する,sesuhada
812,세우다,たてる,seuda
813,세일하다,セールする,seilhada
814,세탁기,洗濯機,setakgi
815,세탁소,クリーニング屋,setakso
816,센터,センター,senteo
817,센티미터,センチメートル,sentimiteo
818,셋,3,set
819,셋째,第３の～、３番目の～,setjjae
820,소,牛,so
821,소개,紹介,sogae
822,소개하다,紹介する,sogaehada
823,소고기,牛肉,sogogi
824,소금,塩,sogeum
825,소리,音、声,sori
826,소설,小説,soseol
827,소설가,小説家,soseolga
828,소식,消息、便り,sosik
829,소파,ソファー,sopa
830,소포,小包,sopo
831,소풍,遠足,sopung
832,소화제,消化剤,sohwaje
833,속,中,sok
834,손,手,son
835,손가락,手の指,songarak
836,손님,お客さま,sonnim
837,손수건,ハンカチ,sonsugeon
838,송이,房,songi
839,쇼핑,ショッピング,syoping
840,수건,タオル、手ぬぐい,sugeon
841,수도,首都,sudo
842,수돗물,水道水,sudotmul
843,수박,すいか,subak
844,수술하다,手術する,susulhada
845,수업,授業,sueop
846,수영,水泳,suyeong
847,수영복,水着,suyeongbok
848,수영장,プール,suyeongjang
849,수요일,水曜日,suyoil
850,수저,箸とスプーン,sujeo
851,수첩,手帳,sucheop
852,수학,数学,suhak
853,숙제,宿題,sukje
854,순서,順序、順番,sunseo
855,숟가락,スプーン,sutgarak
856,술,酒,sul
857,쉬다,休む,swida
858,쉰,50,swin
859,쉽다,簡単だ,swipda
860,슈퍼마켓,スーパーマーケット,syupeomaket
861,스물,20,seumul
862,스웨터,セーター,seuweteo
863,스케이트,スケート,seukeiteu
864,스키,スキー,seuki
865,스키장,スキー場,seukijang
866,스타,スター,seuta
867,스타킹,ストッキング,seutaking
