No.,ハングル,日本語意味,alphabet(読み方)
111,겨우,やっと、ようやく,gyeou
112,격려,激励,gyeokryeo
113,겪다,経験する、経る,gyeokda
114,견디다,耐える,gyeondida
115,결과적,結果的,gyeolgwajeok
116,결국,結局,gyeolguk
117,결론,結論,gyeolron
118,결말,結末,gyeolmal
119,결석,欠席,gyeolseok
120,결승전,決勝戦,gyeolseungjeon
121,결심,決心,gyeolsim
122,결코,決して,gyeolko
123,결혼기념일,結婚記念日,gyeolhonginyeomil
124,결혼식장,結婚式場,gyeolhonsikjang
125,겸손,謙遜,gyeomson
126,겹치다,重なる,gyeopchida
127,경고,警告,gyeonggo
128,경력,経歴,gyeongryeok
129,경비,警備,gyeongbi
130,경비원,警備員,gyeongbiwon
131,경영,経営,gyeongyeong
132,경영자,経営者,gyeongyeongja
133,경영학,経営学,gyeongyeonghak
134,경우,場合,gyeongu
135,경쟁,競争,gyeongjaeng
136,경쟁력,競争力,gyeongjaengryeok
137,경제,経済,gyeongje
138,경제력,経済力,gyeongjeryeok
139,경제적,経済的,gyeongjejeok
140,경제학,経済学,gyeongjehak
141,계산,計算、会計,gyesan
142,계산대,レジ,gyesandae
143,계산서,計算書,gyesanseo
144,계약,契約,gyeyak
145,계약금,契約金,gyeyakgeum
146,계약서,契約書,gyeyakseo
147,계좌,口座,gyejwa
148,계층,階層,gyecheung
149,계획성,計画性,gyehoekseong
150,계획적,計画的,gyehoekjeok
151,고개,頭、峠,gogae
152,고객,顧客,gogaek
153,고구마,さつまいも,goguma
154,고궁,昔の韓国の宮殿,gogung
155,고급,高級,gogeup
156,고래,クジラ,gorae
157,고마움,ありがたみ,gomaum
158,고무신,ゴム靴,gomusin
159,고무줄,輪ゴム,gomujul
160,고민,悩み,gomin
161,고백,告白,gobaek
162,고생,苦労,gosaeng
163,고소하다,香ばしい,gosohada
164,고속,高速,gosok
165,고속도로,高速道路,gosokdoro
166,고아원,孤児院,goawon
167,고유하다,固有である,goyuhada
168,고지서,告知書,gojiseo
169,고집,固執,gojip
170,고춧가루,唐辛子粉,gochutgaru
171,고층,高層,gocheung
172,고통,苦痛,gotong
173,곤란,困難,gonran
174,골고루,均等に,golgoru
175,골목길,路地,golmokgil
176,골치가 아프다,非常に面倒だ,golchiga apeuda
177,곰,クマ,gom
178,곱슬머리,くせ毛、天然パーマ,gopseulmeori
179,곳곳,あちこち、至るところ,gotgot
180,공공요금,公共料金,gonggongyogeum
181,공공장소,公共の場所,gonggongjangso
182,공동,共同,gongdong
183,공동생활,共同生活,gongdongsaenghwal
184,공사,工事,gongsa
185,공손하다,礼儀正しい,gongsonhada
186,공연장,公演会場,gongyeonjang
187,공장,工場,gongjang
188,공주,お姫様,gongju
189,공통,共通,gongtong
190,공통점,共通点,gongtongjeom
191,공포,恐怖,gongpo
192,공해,公害,gonghae
193,과로,過労,gwaro
194,과목,科目,gwamok
195,과소비,浪費,gwasobi
196,과속,スピード違反、,gwasok
197,과식,食べ過ぎ,gwasik
198,과연,果たして,gwayeon
199,과외,家庭教師レッスン,gwaoe
200,과음,飲み過ぎ,gwaeum
201,과장,課長,gwajang
202,과장하다,誇張する,gwajanghada
203,과정,過程,gwajeong
204,과제,課題,gwaje
205,과학자,科学者,gwahakja
206,과학적,科学的,gwahakjeok
207,관객,観客,gwangaek
208,관계없다,関係ない,gwangyeeopda
209,관계자,関係者,gwangyeja
210,관광,観光,gwangwang
211,관광객,観光客,gwangwanggaek
212,관광지,観光地,gwangwangji
213,관람,観覧,gwanram
214,관람객,観覧客,gwanramgaek
215,관련,関連,gwanryeon
216,관련성,関連性,gwanryeonseong
217,관리,管理,gwanri
218,관리실,管理室,gwanrisil
219,관용어,慣用句,gwanyongeo
220,관찰,観察,gwanchal
221,광장,広場,gwangjang
222,괜히,訳もなく,gwaenhi
223,괴로움,辛さ,goeroum
224,괴로워하다,煩う(わずら),goerowohada
225,괴롭다,辛い,goeropda
226,괴롭히다,苦しめる、いじめる,goerophida
227,굉장하다,凄い,goengjanghada
228,굉장히,ものすごく,goengjanghi
229,교사,教師,gyosa
230,교외,郊外,gyooe
231,교육,教育,gyoyuk
232,교육자,教育者,gyoyukja
233,교육학,教育学,gyoyukhak
234,교재,教材,gyojae
235,교통수단,交通手段,gyotongsudan
236,교통편,交通手段,gyotongpyeon
237,교포,同胞,gyopo
238,교환,交換,gyohwan
239,구두쇠,ケチ,gudusoe
240,구르다,転がる,gureuda
241,구매,購買,gumae
242,구멍,穴,gumeong
243,구별,区別,gubyeol
244,구분,区分,gubun
245,구성,構成,guseong
246,구이,焼き物,gui
247,구인,求人,guin
248,구입,購入,guip
249,구조,構造,gujo
250,구조대,救助隊,gujodae
251,구체적,具体的,guchejeok
252,국가,国家,gukga
253,국그릇,汁椀,gukgeureut
254,국내선,国内線,guknaeseon
255,국문학,国文学,gukmunhak
256,국물,汁、スープ,gukmul
257,국민,国民,gukmin
258,국악,伝統音楽,gugak
259,국외,国外,gugoe
260,국제결혼,国際結婚,gukjegyeolhon
261,국제선,国際線,gukjeseon
262,국화,菊,gukhwa
263,군대,軍隊,gundae
264,군데,所,gunde
265,굵다,太い,gukda
266,궁금증,気がかり,gunggeumjeung
267,궁금하다,気になる,gunggeumhada
268,권하다,すすめる,gwonhada
269,귀걸이,イヤリング,gwigeori
270,귀국,帰国,gwiguk
271,귀신,幽霊、お化け,gwisin
272,귀중하다,貴重だ,gwijunghada
273,귀찮다,面倒くさい,gwichanta
274,귀하다,尊い、高貴だ、立派だ,gwihada
275,규칙적,規則的,gyuchikjeok
276,그네,ブランコ,geune
277,그녀,彼女,geunyeo
278,그늘,日陰,geuneul
279,그대로,そのまま,geudaero
280,그래도,それでも,geuraedo
281,그래야,そうしてみたところで,geuraeya
282,그래프,グラフ,geuraepeu
283,그러니,だから,geureoni
284,그러다가,そうこうするうちに,geureodaga
285,그러므로,それゆえ,geureomeuro
286,그러자,すると,geureoja
287,그러하다,そのようだ,geureohada
288,그루 ～,株、～本,geuru ～
289,그룹,グループ,geurup
290,그리,それほど,geuri
291,그리워하다,なつかしがる,geuriwohada
292,그리하여,そうして,geurihayeo
293,그림책,絵本,geurimchaek
294,그립다,懐かしい、恋しい,geuripda
295,그만두다,やめる,geumanduda
296,그만큼,それくらい,geumankeum
297,그저,ただ,geujeo
298,근데,ところで,geunde
299,근로자,勤労者,geunroja
300,근무,勤務,geunmu
301,근육,筋肉,geunyuk
302,글쎄,まあ,geulsse
303,글쓴이,著者,geulsseuni
304,글씨,文字,geulssi
305,글자,文字,geulja
306,긁다,掻く(かく）、ひっかく,geukda
307,금,金,geum
308,금메달,金メダル,geummedal
309,금액,金額,geumaek
310,금지,禁止,geumji
311,급히,急に,geuphi
312,긍정적,肯定的、前向き,geungjeongjeok
313,기계,機械,gigye
314,기념,記念,ginyeom
315,기념관,記念館,ginyeomgwan
316,기념일,記念日,ginyeomil
317,기념품,記念品,ginyeompum
318,기능,機能,gineung
319,기다,這う,gida
320,기대,期待,gidae
321,기도,祈祷,gido
322,기둥,柱,gidung
323,기록,記録,girok
324,기본,基本,gibon
325,기본적,基本的,gibonjeok
326,기부,寄付,gibu
327,기쁨,喜び,gippeum
328,기술,技術,gisul
329,기술자,技術者,gisulja
330,기억,記憶,gieok
331,기억나다,思い出す,gieoknada
332,기억력,記憶力,gieokryeok
333,기업,企業,gieop
334,기업인,企業家,gieobin
335,기운,元気、気運,giun
336,기울이다,傾ける,giurida
337,기준,基準,gijun
338,기차역,駅,gichayeok
339,기차표,列車のチケット,gichapyo
340,기초,基礎,gicho
341,기행문,紀行文,gihaengmun
342,기호,記号,giho
343,기혼,既婚,gihon
344,기회,機会、チャンス,gihoe
345,기후,気候,gihu
346,긴장감,緊張感,ginjanggam
347,길가,道端,gilga
348,길거리,通り、路上,gilgeori
349,길이,長さ,giri
350,김장,冬にキムチを漬け込む行事,gimjang
351,깊다,深い,gipda
352,깊이,深さ、深く,gipi
353,까다,皮をむく,kkada
354,까다롭다,気難しい,kkadaropda
355,깔다,敷く,kkalda
356,깜빡,うっかり,kkamppak
357,깨끗이,きれいに,kkaekkeusi
358,깨닫다,悟る,kkaedatda
359,깨뜨리다,割る,kkaetteurida
360,깨소금,ゴマ塩,kkaesogeum
361,깨우다,起こす,kkaeuda
362,깻잎,エゴマの葉,kkaesip
363,꺼지다,消える,kkeojida
364,껍질,皮,kkeopjil
365,꼬리,しっぽ,kkori
366,꼬박꼬박,欠かさずきちんと,kkobakkkobak
367,꼭대기,てっぺん、頂上,kkokdaegi
368,꼴찌,びり、最下位,kkoljji
369,꼼꼼하다,几帳面だ,kkomkkomhada
370,꼼꼼히,几帳面に,kkomkkomhi
371,꽃병,花瓶,kkotbyeong
372,꽤,かなり、なかなか,kkwae
373,꾸미다,飾る,kkumida
374,꾸준히,着実に,kkujunhi
375,꾸짖다,叱る,kkujitda
376,꿀,はちみつ,kkul
377,꿀벌,ミツバチ,kkulbeol
378,꿈꾸다,夢見る,kkumkkuda
379,끈,紐,kkeun
380,끊다,切る,kkeunta
381,끊어지다,切れる,kkeuneojida
382,끊임없다,絶え間無い,kkeunimeopda
383,끌다,引く,kkeulda
384,끝내,最後まで、ついに,kkeutnae
385,끼어들다,割り込む,kkieodeulda
386,나날이,日に日に,nanari
387,나들이,おでかけ,nadeuri
388,나름,次第,nareum
389,나머지,残り、余り,nameoji
390,나물,ナムル,namul
391,나뭇잎,葉,namusip
392,나서다,進み出る、関与する,naseoda
393,나아가다,進む,naagada
394,나아지다,よくなる,naajida
395,나타내다,現す,natanaeda
396,낙서,落書き,nakseo
397,낙엽,落ち葉,nagyeop
398,난로,ストーブ、暖炉,nanro
399,난방,暖房,nanbang
400,날개,翼、羽,nalgae
401,날다,飛ぶ,nalda
402,날로,日ごとに,nalro
403,날리다,飛ばす,nalrida
404,날씬하다,やせている,nalssinhada
405,날아가다,飛ぶ,naragada
406,날아다니다,飛び回る,naradanida
407,날아오다,飛んでくる,naraoda
408,날아오르다,飛び立つ,naraoreuda
409,낡다,古い,nakda
410,남녀노소,老若男女,namnyeonoso
411,남녀평등,男女平等,namnyeopyeongdeung
412,남다,残る、余る,namda
413,남부,南部,nambu
414,남성,男性,namseong
415,남성복,男性服,namseongbok
416,낫다,治る,natda
417,낭비,浪費、無駄遣い,nangbi
418,낯설다,見慣れない,natseolda
419,낳다,産む,nata
420,내내,ずっと,naenae
421,내려다보다,見下ろす,naeryeodaboda
422,내복,下着,naebok
423,내부,内部,naebu
424,내성적,内気な,naeseongjeok
425,내용물,中身、内容物,naeyongmul
426,내쫓다,追い出す,naejjotda
427,냇가,小川,naetga
428,냉방병,冷房病,naengbangbyeong
429,너그럽다,寛大だ、度量が大きい,neogeureopda
430,너무나,あまりにも,neomuna
431,넉넉하다,十分だ、豊かだ,neokneokhada
432,널다,干す、風に当てる,neolda
433,넓히다,広げる、広くする,neolhida
434,넘기다,渡す,neomgida
435,넘어가다,移る,neomeogada
436,넘치다,あふれる,neomchida
437,네모나다,四角い,nemonada
438,네트워크,ネットワーク,neteuwokeu
439,년대,年代,nyeondae
440,노동,労働,nodong
441,노동자,労働者,nodongja
442,노력,努力,noryeok
443,노선,路線,noseon
444,노약자,お年寄り、体の不自由な方,noyakja
445,노인,老人,noin
446,노처녀,未婚で年をとった女性,nocheonyeo
447,노총각,未婚で年を取った男性,nochonggak
448,노트북,ノート型パソコン,noteubuk
449,녹다,溶ける,nokda
450,녹음,録音,nogeum
451,녹음기,録音機,nogeumgi
452,논문,論文,nonmun
453,놀랍다,驚くべきだ、目覚ましい,nolrapda
454,놀리다,からかう,nolrida
455,놀이,遊び,nori
456,놀이터,公園、広場,noriteo
457,놈,奴,nom
458,농담,冗談,nongdam
459,농민,農民、農夫,nongmin
460,농부,農夫,nongbu
461,농사,農業,nongsa
462,농약,農薬,nongyak
463,농작물,農作物,nongjakmul
464,농촌,農村,nongchon
465,높이,高さ,nopi
466,높이다,高める,nopida
467,높임말,敬語,nopimmal
468,놓이다,置かれる,noida
469,놓치다,逃す、失う,nochida
470,눈길,視線,nungil
471,눈높이,目の高さ,nunnopi
472,눈병,眼病,nunbyeong
473,눈보라,吹雪,nunbora
474,눈사태,雪崩,nunsatae
475,눈썹,眉,nunsseop
476,눈치,気転、、顔つき,nunchi
477,눌러쓰다,深々とかぶる,nulreosseuda
478,느긋하다,のんびりしている、ゆったりしている,neugeuthada
479,느끼하다,脂っこい,neukkihada
480,늘리다,増やす,neulrida
481,늘어나다,伸びる、長くなる、増える,neureonada
482,늘어서다,並ぶ,neureoseoda
483,늙다,老いる,neukda
484,늦추다,遅らせる,neutchuda
485,다가오다,近づいてくる、接近する,dagaoda
486,다녀가다,寄っていく,danyeogada
487,다람쥐,リス,daramjwi
488,다루다,扱う,daruda
489,다림질,アイロンかけ,darimjil
490,다수,多数,dasu
491,다양하다,多様だ,dayanghada
492,다음날,翌日,daeumnal
493,다정하다,思いやりがある、情深い、やさしい,dajeonghada
494,다투다,もめる、言い争う,datuda
495,다행,幸い,dahaeng
496,다행히,幸い、運よく,dahaenghi
497,단계,段階,dangye
498,단골,常連,dangol
499,단기간,短期間,dangigan
500,단단하다,丈夫だ、しっかりしている,dandanhada
501,단발머리,おかっぱ,danbalmeori
502,단백질,タンパク質,danbaekjil
503,단속,取り締まり,dansok
504,단순하다,単純である,dansunhada
505,단순히,単純に,dansunhi
506,단위,単位,danwi
507,단정하다,断定する、端正だ,danjeonghada
508,단체,団体,danche
509,단풍,紅葉、もみじ,danpung
510,달라지다,変わる,dalrajida
511,달려가다,走る,dalryeogada
512,달려오다,走ってくる,dalryeooda
513,달리,他に、別に,dalri
514,달리기,ランニング,dalrigi
515,달밤,月夜,dalbam
516,달아나다,逃げる,daranada
517,달콤하다,甘ったるい,dalkomhada
518,닭갈비,タッカルビ,dakgalbi
519,담,垣根,dam
520,담기다,入れられる、盛られる,damgida
521,담다,盛る,damda
522,담당,担当,damdang
523,담당자,担当者,damdangja
524,담백하다,淡白だ,dambaekhada
525,담뱃불,たばこの火,dambaetbul
526,담임,担任,damim
527,답,答え、返事,dap
528,답글,返信,dapgeul
529,답답하다,はがゆい、重苦しい,dapdaphada
530,답변,答弁,dapbyeon
531,당기다,引く、引っ張る,danggida
532,당분간,当分の間,dangbungan
533,당연하다,当然である,dangyeonhada
534,당연히,当然,dangyeonhi
535,당장,即刻、今のところ,dangjang
536,당하다,やられる,danghada
537,당황하다,慌てる,danghwanghada
538,대개,大概、大抵,daegae
539,대기업,大企業,daegieop
540,대다,当てる、触れる,daeda
541,대단하다,すごい、大したものだ,daedanhada
542,대단히,非常に,daedanhi
543,대도시,大都市,daedosi
544,대량,大量,daeryang
545,대리,代理,daeri
546,대문,門,daemun
547,대신,代わり,daesin
548,대여,貸与、レンタル,daeyeo
549,대여료,レンタル料,daeyeoryo
550,대접,もてなし、接待,daejeop
551,대중,大衆,daejung
552,대중교통,公共交通機関,daejunggyotong
553,대중목욕탕,銭湯,daejungmogyoktang
554,대책,対策,daechaek
555,대청소,大掃除,daecheongso
556,대체로,大体,daechero
557,대출,貸し付け、貸し出し,daechul
558,대통령,大統領,daetongryeong
559,대표,代表,daepyo
560,대표적,代表的,daepyojeok
561,대형,大型,daehyeong
562,댄스,ダンス,daenseu
563,더구나,その上、しかも、さらに,deoguna
564,더러워지다,汚れる,deoreowojida
565,더욱,もっと、よりいっそう,deouk
566,더위,暑さ,deowi
567,더하다,ひどくなる、加える,deohada
568,덕,おかげ,deok
569,던지다,投げる,deonjida
570,덜,より少なく、まだ～ない,deol
571,덜다,減らす,deolda
572,데다,やけどする,deda
573,데려오다,連れてくる,deryeooda
574,데치다,ゆでる、さっとゆでる,dechida
575,도구,道具,dogu
576,도난,盗難,donan
577,도대체,一体全体,dodaeche
578,도둑,泥棒,doduk
579,도망가다,逃げる,domanggada
580,도서,図書,doseo
581,도시락,弁当,dosirak
582,도장,印鑑、実印,dojang
583,도전,挑戦,dojeon
584,도중,途中,dojung
585,독,毒,dok
586,독감,インフルエンザ、ひどい風邪,dokgam
587,독립,独立,dokrip
588,독방,独房,dokbang
589,독신자,独身者,doksinja
590,독특하다,独特だ,dokteukhada
591,돌,石,dol
592,돌다,回る,dolda
593,돌려받다,返してもらう,dolryeobatda
594,돌려보내다,返す、帰らせる,dolryeobonaeda
595,돌려주다,返す,dolryeojuda
596,돌리다,回す,dolrida
597,돌보다,面倒をみる、世話をする,dolboda
598,돌솥,石鍋,dolsot
599,돌아다니다,歩き回る,doradanida
600,돌아보다,振り向いて見る,doraboda
601,돌아서다,振り返る,doraseoda
602,돌잔치,一歳の誕生日,doljanchi
603,동굴,洞窟,donggul
604,동료,同僚,dongryo
605,동물원,動物園,dongmurwon
606,동부,東部,dongbu
607,동서양,東洋と西洋,dongseoyang
608,동시,同時,dongsi
609,동양화,東洋画,dongyanghwa
610,동영상,動画,dongyeongsang
611,동일하다,同じである,dongilhada
612,동작,動作,dongjak
613,동창,同窓,dongchang
614,동창회,同窓会,dongchanghoe
615,동해안,東海岸,donghaean
616,동호회,同好会,donghohoe
617,동화,童話,donghwa
618,동화책,児童書,donghwachaek
619,되도록,できるだけ,doedorok
620,되돌리다,取り戻す,doedolrida
621,되돌아보다,振り返る,doedoraboda
622,되살아나다,生き返る、蘇る,doesaranada
623,두려움,恐れ,duryeoum
624,두려워하다,恐れる,duryeowohada
625,두세,二・三,duse
626,두통,頭痛,dutong
627,두통약,頭痛薬,dutongyak
628,둔하다,鈍い,dunhada
629,둘러보다,見回す,dulreoboda
630,둥글다,丸い,dunggeulda
631,뒤떨어지다,劣る、遅れる,dwitteoreojida
632,뒤집다,裏返す,dwijipda
633,뒤풀이,打ち上げ,dwipuri
634,뒷모습,後ろ姿,dwitmoseup
635,뒷문,裏門,dwitmun
636,뒷이야기,裏話,dwisiyagi
637,뒷자리,後ろの席,dwitjari
638,드디어,いよいよ、ついに,deudieo
639,드라이,ドライ,deurai
640,드림,ドリーム,deurim
641,드물다,まれだ,deumulda
642,든든하다,心強い、頼もしい、しっかりしている,deundeunhada
643,들려주다,聞かせてくれる,deulryeojuda
644,들르다,立ち寄る,deulreuda
645,들리다,聞こえる,deulrida
646,들어보다,聞いてみる,deureoboda
647,들어주다,聞いてくれる,deureojuda
648,들이다,かける、費やす,deurida
649,등록,登録,deungrok
650,등록금,登録金、授業料,deungrokgeum
651,등록증,登録証,deungrokjeung
652,등불,明かり、灯火,deungbul
653,디스크,ディスク、ヘルニア,diseukeu
654,디자이너,デザイナー,dijaineo
655,디지털,デジタル,dijiteol
656,따다,もぎとる、摘む、得る,ttada
657,따라다니다,ついていく、つきまとう,ttaradanida
658,따라서,従って,ttaraseo
659,따로따로,別々、それぞれ,ttarottaro
660,따지다,問い詰める,ttajida
661,딱,ピッタリ,ttak
662,딱딱하다,固い,ttakttakhada
663,딴,べつの、他の,ttan
664,땅,土地,ttang
665,땅콩,ピーナッツ,ttangkong
666,때때로,時折,ttaettaero
667,때로,時々,ttaero
668,떠오르다,浮かぶ,tteooreuda
669,떨다,震える、震わす,tteolda
670,떨리다,震える、揺れる,tteolrida
671,떨어뜨리다,落とす、下落させる,tteoreotteurida
672,떼다,取る、離す,tteda
673,또박또박,きちんと、はきはき、,ttobakttobak
674,또한,また,ttohan
675,똑같이,同じく,ttokgati
676,똑똑하다,利口だ、賢い、頭いい,ttokttokhada
677,뚜렷하다,はっきりしている,tturyeothada
678,뚫다,穴を開ける,ttulta
679,뚱뚱하다,太っている,ttungttunghada
680,뛰어가다,走る,ttwieogada
681,뛰어나다,優れている,ttwieonada
682,뛰어내리다,飛び降りる,ttwieonaerida
683,뛰어넘다,飛び越える,ttwieoneomda
684,뛰어다니다,走りまわる,ttwieodanida
685,뛰어오다,走ってくる,ttwieooda
686,뛰쳐나가다,飛び出す,ttwichyeonagada
687,뜨거워지다,熱くなる,tteugeowojida
688,뜻밖에,意外に,tteutbakke
689,띠,干支,tti
690,램프,ランプ,raempeu
691,레몬,レモン,remon
692,레포츠,レジャースポーツ,repocheu
693,렌즈,レンズ,renjeu
694,렌터카,レンタカー,renteoka
695,로또,ロット、宝くじ,rotto
696,로봇,ロボット,robot
697,로비,ロビー,robi
698,룸메이트,ルームメイト,rummeiteu
699,리듬,リズム,rideum
700,리모컨,リモコン,rimokeon
701,마감일,締め切り日,magamil
702,마네킹,マネキン,maneking
703,마당,庭,madang
704,마디,節,madi
705,마라톤,マラソン,maraton
706,마련하다,設ける,maryeonhada
707,마루,板の間,maru
708,마무리,仕上げ,mamuri
709,마술,手品,masul
710,마스크,マスク,maseukeu
711,마약,麻薬,mayak
712,마을,村,maeul
713,마음껏,心おきなく、思いっきり,maeumkkeot
714,마음대로,自分勝手に、思い通りに,maeumdaero
715,마음먹다,決心する,maeummeokda
716,마음씨,心、気立て,maeumssi
717,마주보다,向き合う,majuboda
718,마주치다,ぶつかる、目が合う,majuchida
719,마중,出迎え,majung
720,마찬가지,同様,machangaji
721,마치,まるで、あたかも、ちょうど,machi
722,마침,ちょうど、たまたま,machim
723,마침내,遂に,machimnae
724,마케팅,マーケティング,maketing
725,마트,マート,mateu
726,막,めちゃくちゃに、やたらに,mak
727,막내,末っ子,maknae
728,막다,ふさぐ、さえぎる,makda
729,막대기,棒,makdaegi
730,막차,終電,makcha
731,만남,出会い,mannam
732,만년필,万年筆,mannyeonpil
733,만약,もしも、万が一,manyak
734,만족,満足,manjok
735,만족감,満足感,manjokgam
736,만화책,漫画,manhwachaek
737,맏딸,長女,matttal
738,맏아들,長男,madadeul
739,말다툼,口喧嘩、口論,maldatum
740,말리다,引き止める、乾かす,malrida
741,말투,話し方、言葉使い,maltu
742,맛보다,味見する,matboda
743,망가뜨리다,壊す、ダメにする,manggatteurida
744,망가지다,壊れる、駄目になる,manggajida
745,망설이다,ためらう、躊躇する,mangseorida
746,망하다,滅ぶ,manghada
747,맞벌이,共稼ぎ,matbeori
748,맞이,迎え,maji
749,맞추다,合わせる、仕立てる,matchuda
750,맡기다,任せる,matgida
751,맡다,引き受ける,matda
752,매년,毎年,maenyeon
753,매달,毎月,maedal
754,매력,魅力,maeryeok
755,매력적,魅力的,maeryeokjeok
756,매연,煤煙,maeyeon
757,매운탕,メウンタン、魚のアラ鍋,maeuntang
758,매점,売店,maejeom
759,매진,売り切れ,maejin
760,매체,媒体,maeche
761,매콤하다,やや辛い、ピリ辛い,maekomhada
762,매표소,チケット売り場,maepyoso
763,맨발,素足,maenbal
764,맨손,素手,maenson
765,맹인,盲人,maengin
766,맺다,結ぶ,maetda
767,머리카락,髪、髪の毛,meorikarak
768,머무르다,とどまる,meomureuda
769,머지않다,遠くない,meojianta
770,먹을거리,食べ物,meogeulgeori
771,먹이,えさ,meogi
772,먹이다,食べさせる,meogida
773,먼지,ちり、ほこり,meonji
774,멀리,遠く,meolri
775,멀티미디어실,マルチメディア室,meoltimidieosil
776,멈추다,止まる、泊まる,meomchuda
777,멋지다,素敵だ,meotjida
778,멍,あざ,meong
779,메일,メール,meil
780,멜로디,メロディー,melrodi
781,멜론,メロン,melron
782,며느리,嫁,myeoneuri
783,면,面、麺,myeon
784,면세점,免税店,myeonsejeom
785,면접,面接,myeonjeop
786,면접관,面接官,myeonjeopgwan
787,면접시험,面接試験,myeonjeopsiheom
788,면허증,免許証,myeonheojeung
789,명랑,明朗,myeongrang
790,명랑하다,朗らかだ、明るい,myeongranghada
791,명사,名詞,myeongsa
792,명소,名所,myeongso
793,명품,ブランド品、名品,myeongpum
794,몇몇,いくつかの、若干,myeotmyeot
795,모국어,母国語,mogugeo
796,모기,蚊,mogi
797,모델,モデル,model
798,모래,砂,morae
799,모범생,模範生,mobeomsaeng
800,모습,姿,moseup
801,모음,母音,moeum
802,모자라다,足りない,mojarada
803,모집,募集,mojip
804,모험심,冒険心,moheomsim
805,모형,模型,mohyeong
806,목마르다,喉が渇く,mokmareuda
807,목사,牧師,moksa
808,목숨,命,moksum
809,목욕탕,銭湯,mogyoktang
810,목적지,目的地,mokjeokji
811,목표,目標,mokpyo
812,몰라보다,わからない、見違える,molraboda
813,몰래,こっそり,molrae
814,몰려들다,押し寄せる,molryeodeulda
815,몰리다,寄り集まる,molrida
